ERR1912976.28761__1.28761	820__A0A139JRS5__HMPREF1073_04025
ERR1912976.28928__1.28928	418240__A0A174C465__ydaM
ERR1912976.28931__1.28931	1263005__R6ESK3__BN497_01127
ERR1912976.28942__1.28942	39485__C4Z355__ERS852490_01971
ERR1912976.29104__1.29104	1628085__A0A2U1BH64__C7386_101226
ERR1912976.29268__1.29268	33038__F7JZ41__CCY17_00135
ERR1912976.29397__1.29397	821__A0A3E4HP25__SAMN04487923_102450
ERR1912976.29507__1.29507	487174__R5FJY1__DDY40_07045
ERR1912976.29562__1.29562	28116__A0A139L3C0__C5Z02_05550
ERR1912976.29580__1.29580	544644__GCA_001915615.1_00036
ERR1912976.29586__1.29586	821__A0A174NM17__lacZ_6
ERR1912976.29684__1.29684	39485__C4Z6J7__ERS852492_02047
ERR1912976.29674__1.29674	39485__A0A174ZKZ4__spoIIQ_1
ERR1912976.29722__1.29722	28116__A0A078Q626__HMPREF1070_02735
ERR1912976.30066__1.30066	371601__A0A1C7H6N4__SAMN05216250_10764
ERR1912976.30141__1.30141	33038__A0A2N5Q1T9__ERS852409_01319
ERR1912976.30180__1.30180	487174__K0WRH0__DDY40_05725
ERR1912976.30249__1.30249	1262988__R7N221__BN816_01561
ERR1912976.30322__1.30322	39485__C4Z355__ERS852490_01971
ERR1912976.30442__1.30442	292800__A0A174IVH2__zraR_1
ERR1912976.30632__1.30632	562__Q8XBR9__G770_00628
ERR1912976.30667__1.30667	360807__C0FVL1__ERS852392_00394
ERR1912976.30858__1.30858	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1912976.30871__1.30871	150055__A0A1H0Z022__KE3_1445
ERR1912976.30908__1.30908	1263064__GCA_000431175.1_01859
ERR1912976.30992__1.30992	1263000__R5EAZ0__BN466_00537
ERR1912976.31302__1.31302	1160721__W0U633__BHW50_00240
ERR1912976.31413__1.31413	33038__A0A2N5P082__CDL24_08780
ERR1912976.31545__1.31545	39492__D4JTW6__ERS852540_00220
ERR1912976.31629__1.31629	39485__C4Z6V1__ERS852492_02640
ERR1912976.31773__1.31773	1262921__R5LMK9__BN473_01331
ERR1912976.31786__1.31786	33038__A0A3E4K696__HMPREF1201_01836
ERR1912976.31831__1.31831	821__A0A174ALF2__BvMPK_3016
ERR1912976.31850__1.31850	328814__GCA_004558275.1_00007
ERR1912976.31853__1.31853	214856__I3YMB7__Alfi_1811
ERR1912976.32004__1.32004	292800__G9YLJ8__ADH75_09915
ERR1912976.32116__1.32116	821__A0A396F9T7__M097_3427
ERR1912976.32083__1.32083	820__A0A173YYG4__evgS_3
ERR1912976.32207__1.32207	74426__sugC
ERR1912976.32238__1.32238	28117__B0MSR5__BHV66_02095
ERR1912976.32294__1.32294	1262743__R5C054__BN727_01980
ERR1912976.32502__1.32502	28052__A0A174HF53__ERS852499_00436
ERR1912976.32589__1.32589	292800__A0A1C7FV36__A4U99_10420
ERR1912976.32603__1.32603	821__A0A174MBW9__SAMN04487923_10272
ERR1912976.32620__1.32620	2173__A0A1D2WR01__Msm_0221
ERR1912976.32633__1.32633	501571__R8VRZ3__SAMN02745978_02783
ERR1912976.32880__1.32880	329854__R5MTF4__DXK01_12115
ERR1912976.33095__1.33095	487174__W0ES49__HMPREF9448_00709
ERR1912976.33108__1.33108	28052__A0A174GZE8__ERS852451_00311
ERR1912976.33109__1.33109	292800__A0A174NZG5__appA_1
ERR1912976.33112__1.33112	39485__A0A174YKY3__EUBELI_00877
ERR1912976.33298__1.33298	33038__A0A2N5P0D0__CDL18_07990
ERR1912976.33318__1.33318	301301__A0A395V396__RHOM_09170
ERR1912976.33741__1.33741	301302__A0A0M6WRT7__ERS852420_02104
ERR1912976.33709__1.33709	165179__A0A3E5A6S0__PREVCOP_04351
ERR1912976.34049__1.34049	1263000__R5ECL2__BN466_00920
ERR1912976.34164__1.34164	820__A0A174LJB2__HMPREF1072_04112
ERR1912976.34199__1.34199	33038__A0A2N5PXI0__C5Y99_10810
ERR1912976.34397__1.34397	33038__F7JZ41__CCY17_00135
ERR1912976.34503__1.34503	823__D0TGE9__ERS852429_03294
ERR1912976.34559__1.34559	360807__A0A173WJE3__mcp4_4
ERR1912976.34657__1.34657	165179__A0A229I3Z6__PREVCOP_03666
ERR1912976.34683__1.34683	33038__A0A2N5NPD5__CCY17_06280
ERR1912976.34929__1.34929	165179__D1PDF6__DXB80_12430
ERR1912976.34998__1.34998	28052__A0A174HF53__ERS852499_00436
ERR1912976.35029__1.35029	458033__GCA_001482755.1_02203
ERR1912976.35065__1.35065	1263109__GCA_000438135.1_00485
ERR1912976.35145__1.35145	821__A0A174WBC9__ERS852556_03145
ERR1912976.35229__1.35229	28052__R7NBF2__ERS852451_02191
ERR1912976.35196__1.35196	301301__A0A395VAV8__ERS852391_02437
ERR1912976.35208__1.35208	33038__A7AYC4__CDL21_13075
ERR1912976.35500__1.35500	1262921__R5M1D5__BN473_00043
ERR1912976.35541__1.35541	39491__A0A395V0H6__ERS852580_02570
ERR1912976.35555__1.35555	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.35785__1.35785	487174__K0XF08__DDY40_09050
ERR1912976.35829__1.35829	28118__F9ZBZ0__DHW44_07740
ERR1912976.35759__1.35759	2108523__A0A2P2F4Y6__LAWASA_1065
ERR1912976.35962__1.35962	28052__R7NCD4__ERS852451_00170
ERR1912976.35913__1.35913	454154__G5SVN0__HMPREF9441_03447
ERR1912976.36046__1.36046	33038__A0A3E4V548__DXD36_06385
ERR1912976.36169__1.36169	2293125__A0A374BMF4__DW917_15260
ERR1912976.36262__1.36262	1776045__A0A0U5J7K7__BN3456_00132
ERR1912976.36279__1.36279	1262995__R5R5E9__BN747_02329
ERR1912976.36429__1.36429	2173__A0A1D2WRS4__METSMIALI_00521
ERR1912976.36630__1.36630	28116__F7LBW8__C5Z02_16055
ERR1912976.36720__1.36720	33038__A7B8N9__CDL21_10000
ERR1912976.36734__1.36734	33038__A0A2N5PIX3__CDL26_14635
ERR1912976.36768__1.36768	33038__A7B5U7__CDL18_11280
ERR1912976.36821__1.36821	487174__K0WXG8__DIT83_09300
ERR1912976.37112__1.37112	487174__K0WY34__DDY40_07435
ERR1912976.37300__1.37300	165179__D1PHD6__DXC61_03380
ERR1912976.37359__1.37359	357276__A0A076ISJ4__B5F95_19420
ERR1912976.37545__1.37545	357276__A0A076ITH2__BSEG_03273
ERR1912976.37553__1.37553	371601__D0TQQ4__BN891_30250
ERR1912976.37625__1.37625	329854__B3C9R7__DXD57_13140
ERR1912976.37681__1.37681	39485__A0A174YMM2__ERS852490_01019
ERR1912976.37705__1.37705	649756__B0P3X0__DCR88_11535
ERR1912976.37726__1.37726	239935__A0A2N8IVR0__CXT87_07115
ERR1912976.37768__1.37768	33038__A0A2N5Q3U3__CDL22_04965
ERR1912976.38545__1.38545	871324__A0A1M6AB95__SAMN05444350_101158
ERR1912976.38646__1.38646	39491__A0A396FPV7__ERS852580_01177
ERR1912976.39228__1.39228	33038__A0A2N5NTT9__ERS852409_01418
ERR1912976.39425__1.39425	360807__C0FPV8__RIL183_29891
ERR1912976.39562__1.39562	329854__A0A3E4KZ82__DXD27_06595
ERR1912976.39593__1.39593	671267__R9IB12__C802_00696
ERR1912976.39634__1.39634	360807__A0A0M6WIS4__ROSEINA2194_02000
